"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"03/04/2021 12:28:40","930","VPN","VPN IKE","Initiator: Peer Timeout - Retransmitting","Standard Note String","Information","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","IKE Initiator: Remote party Timeout - Retransmitting IKE Request.",""
"03/04/2021 12:28:40","605","VPN","VPN IKE","Received Unencrypted Packet","Standard Note String","Warning","","","","","","","","","","4.31.139.126","500","","","","","4.14.22.130","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","Received unencrypted packet in crypto active state",""
"03/04/2021 12:28:40","411","VPN","VPN IKE","Notification on Malformed Payload","Standard Note String","Warning","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","Received notify: PAYLOAD_MALFORMED",""
"03/04/2021 12:28:41","200","Users","Authentication Access","Admin Password Error From CLI","Standard Note String","Warning","","","","","","","","","","39.42.118.244","61944","","","","","","","","","","","","","","","","","","MikroTik","","","","","","","","","","","NA","","","CLI administrator login denied due to bad credentials",""
"03/04/2021 12:28:41","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","71","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 60058, Destination: 172.16.250.228, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:28:42","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","71","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 60058, Destination: 4.2.2.2, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:28:43","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","52","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 14866, Destination: 54.153.4.121, 443, Protocol: 6-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:28:46","1233","Firewall Settings","Multicast","Link-Local/Multicast IPv6 Packet","Standard Note Protocol","Notice","34525","D4:AD:71:0C:68:19","CISCO SYSTEMS","X8","WAN","33:33:00:00:00:0D","Unknown","","","fe80::d6ad:71ff:fe0c:6819","","","","","","ff02::d","","","","","","103","","","374","","","","","","","","","","","","","","","drop","","","Unhandled link-local or multicast IPv6 packet dropped",""
"03/04/2021 12:28:47","406","VPN","VPN IKE","Duplicate Packet Dropped","Standard Note String","Warning","","","","","","","","","","4.31.139.126","500","","","","","4.14.22.130","500","","","","","udp","","","","","","","","","","","","","","","","","","drop","","VPN Policy: Baton Rouge","Received packet retransmission. Drop duplicate packet",""
"03/04/2021 12:28:50","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","96","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 10240, Destination: 172.16.250.38, 137, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:28:51","930","VPN","VPN IKE","Initiator: Peer Timeout - Retransmitting","Standard Note String","Information","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","IKE Initiator: Remote party Timeout - Retransmitting IKE Request.",""
"03/04/2021 12:28:51","605","VPN","VPN IKE","Received Unencrypted Packet","Standard Note String","Warning","","","","","","","","","","4.31.139.126","500","","","","","4.14.22.130","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","Received unencrypted packet in crypto active state",""
"03/04/2021 12:28:51","411","VPN","VPN IKE","Notification on Malformed Payload","Standard Note String","Warning","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","Received notify: PAYLOAD_MALFORMED",""
"03/04/2021 12:28:52","200","Users","Authentication Access","Admin Password Error From CLI","Standard Note String","Warning","","","","","","","","","","39.42.118.244","62700","","","","","","","","","","","","","","","","","","MikroTik","","","","","","","","","","","NA","","","CLI administrator login denied due to bad credentials",""
"03/04/2021 12:28:53","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","61","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 1612, Destination: 4.2.2.2, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:28:53","1257","Network","ICMP","ICMPv6 Packets Dropped","Standard Policy","Notice","34525","D4:AD:71:0C:68:19","CISCO SYSTEMS","X8","WAN","33:33:00:00:00:01","Unknown","X8","MULTICAST","fe80::d6ad:71ff:fe0c:6819","","","","","","ff02::1","","","","","","ipv6-icmp","130","0","76","","","","","","","","","","","","","","Service Multicast Listener Query (IPv6)","drop","","err1: policy not found for packet on Zones(WAN -> MULTICAST)","ICMPv6 packet dropped due to policy",""
"03/04/2021 12:28:55","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","107","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 29914, Destination: 192.168.0.21, 161, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:28:56","1257","Network","ICMP","ICMPv6 Packets Dropped","Standard Policy","Notice","34525","D4:AD:71:0C:68:19","CISCO SYSTEMS","X8","WAN","33:33:00:00:00:16","Unknown","X8","MULTICAST","fe80::d6ad:71ff:fe0c:6819","","","","","","ff02::16","","","","","","ipv6-icmp","143","0","196","","","","","","","","","","","","","","Service Version 2 Multicast Listener Re","drop","","err1: policy not found for packet on Zones(WAN -> MULTICAST)","ICMPv6 packet dropped due to policy",""
"03/04/2021 12:29:03","200","Users","Authentication Access","Admin Password Error From CLI","Standard Note String","Warning","","","","","","","","","","39.42.118.244","63515","","","","","","","","","","","","","","","","","","MikroTik","","","","","","","","","","","NA","","","CLI administrator login denied due to bad credentials",""
"03/04/2021 12:29:04","406","VPN","VPN IKE","Duplicate Packet Dropped","Standard Note String","Warning","","","","","","","","","","4.31.139.126","500","","","","","4.14.22.130","500","","","","","udp","","","","","","","","","","","","","","","","","","drop","","VPN Policy: Baton Rouge","Received packet retransmission. Drop duplicate packet",""
"03/04/2021 12:29:05","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","60","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 64897, Destination: 172.16.250.228, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:29:06","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","60","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 64897, Destination: 4.2.2.2, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:29:07","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","73","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 63753, Destination: 4.2.2.2, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:29:08","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","75","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 9594, Destination: 4.2.2.2, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:29:11","930","VPN","VPN IKE","Initiator: Peer Timeout - Retransmitting","Standard Note String","Information","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","IKE Initiator: Remote party Timeout - Retransmitting IKE Request.",""
"03/04/2021 12:29:11","605","VPN","VPN IKE","Received Unencrypted Packet","Standard Note String","Warning","","","","","","","","","","4.31.139.126","500","","","","","4.14.22.130","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","Received unencrypted packet in crypto active state",""
"03/04/2021 12:29:11","411","VPN","VPN IKE","Notification on Malformed Payload","Standard Note String","Warning","","","","","","","","","","4.14.22.130","500","","","","","4.31.139.126","500","","","","","","","","","","","","","","","","","","","","","","","NA","","VPN Policy: Baton Rouge","Received notify: PAYLOAD_MALFORMED",""
"03/04/2021 12:29:17","1010","Users","Radius Authentication","Using LDAP Without TLS","Simple","Alert","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","","Using LDAP without TLS - highly insecure",""
"03/04/2021 12:29:27","200","Users","Authentication Access","Admin Password Error From CLI","Standard Note String","Warning","","","","","","","","","","39.42.118.244","62824","","","","","","","","","","","","","","","","","","profile1","","","","","","","","","","","NA","","","CLI administrator login denied due to bad credentials",""
"03/04/2021 12:29:29","84","Network","DNS","Name Resolve Failed","Simple Note String","Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","failed in DNS resolve utmgbdata.global.sonicwall.com","Failed to resolve name",""
"03/04/2021 12:29:32","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","64","","","","","","","","","","","","","","NA","","Source: 4.14.22.130, 23119, Destination: 17.57.144.85, 5223, Protocol: 6-[Some details are no longer available]","NAT Mapping",""
"03/04/2021 12:29:32","1233","Firewall Settings","Multicast","Link-Local/Multicast IPv6 Packet","Standard Note Protocol","Notice","34525","C0:B6:58:A7:1A:E3","APPLE","X0","LAN","33:33:00:00:00:FB","Unknown","","","fe80::ce:3abf:eaf2:6c12","5353","","","","","ff02::fb","5353","","","","","udp","","","160","","","","","","","","","","","","","","","drop","","","Unhandled link-local or multicast IPv6 packet dropped",""
